,l1,age,sex,aoa,method,n_years,id,id2,group,langgroup,native,color,username,language,nativeness,usuk,index,emb0,emb1,emb2,emb3,emb4,emb5,emb6,emb7
3317,dutch,35.0,female,12.0,academic,0.1,896,dutch8,dutch,germanic,False,#b2df8a,gmu00896,dutch,nonnative,nonnative,000,2.9722983837127686,1.509589672088623,1.6532649993896484,0.6502015590667725,0.8363208770751953,0.609467089176178,0.6092256307601929,0.6092552542686462
3371,dutch,54.0,female,13.0,academic,11.0,770,dutch5,dutch,germanic,False,#b2df8a,gmu00770,dutch,nonnative,nonnative,001,3.179680824279785,1.5077948570251465,1.5505191087722778,0.6566267609596252,0.841023862361908,0.6117731332778931,0.6115626096725464,0.6114768981933594
3828,dutch,23.0,female,13.0,academic,0.0,1266,dutch22,dutch,germanic,False,#b2df8a,gmu01266,dutch,nonnative,nonnative,002,2.951737880706787,1.3636857271194458,1.7627923488616943,1.2815170288085938,0.8426257371902466,0.6104656457901001,0.610191822052002,0.6102583408355713
4534,dutch,21.0,female,13.0,academic,0.0,1265,dutch21,dutch,germanic,False,#b2df8a,gmu01265,dutch,nonnative,nonnative,003,2.9397730827331543,1.51445472240448,1.8482681512832642,0.6568517684936523,1.173302412033081,0.6144368648529053,0.6140418648719788,0.6140983700752258
2586,dutch,23.0,female,12.0,academic,0.0,1260,dutch16,dutch,germanic,False,#b2df8a,gmu01260,dutch,nonnative,nonnative,004,2.8357417583465576,1.5284416675567627,1.8831983804702759,0.6534979939460754,0.8422974348068237,0.6117757558822632,0.6115138530731201,0.6115760207176208
4232,dutch,42.0,female,12.0,academic,6.0,2249,dutch49,dutch,germanic,False,#b2df8a,gmu02249,dutch,nonnative,nonnative,005,2.747342109680176,1.5915796756744385,2.5086417198181152,0.6545177698135376,0.8451848030090332,0.6118921041488647,0.6117971539497375,0.6118771433830261
3680,dutch,21.0,female,12.0,academic,0.0,1740,dutch44,dutch,germanic,False,#b2df8a,gmu01740,dutch,nonnative,nonnative,006,2.6886510848999023,1.7035999298095703,2.286660671234131,0.6487371921539307,0.8452830910682678,0.6116952896118164,0.6114393472671509,0.6114802360534668
4323,dutch,23.0,female,13.0,academic,0.0,1463,dutch31,dutch,germanic,False,#b2df8a,gmu01463,dutch,nonnative,nonnative,007,3.008352756500244,1.285466194152832,1.8427037000656128,0.6578992009162903,1.6966572999954224,0.611717939376831,0.6115997433662415,0.6116300821304321
3048,dutch,22.0,female,11.0,academic,0.0,1263,dutch19,dutch,germanic,False,#b2df8a,gmu01263,dutch,nonnative,nonnative,008,2.7156920433044434,1.5243701934814453,1.8373266458511353,0.6549490690231323,0.8440977334976196,0.6121342182159424,0.6119527220726013,0.6118640899658203
2717,dutch,33.0,female,10.0,academic,0.5,1003,dutch13,dutch,germanic,False,#b2df8a,gmu01003,dutch,nonnative,nonnative,009,2.609683036804199,1.780468225479126,1.820068120956421,0.6544692516326904,0.8404585719108582,0.6106968522071838,0.6104122996330261,0.6104695796966553
2641,dutch,36.0,male,10.0,academic,0.5,956,dutch12,dutch,germanic,False,#b2df8a,gmu00956,dutch,nonnative,nonnative,010,2.74522066116333,1.7815208435058594,0.6234652400016785,0.6665088534355164,0.8990058302879333,0.6946285963058472,0.6946823000907898,0.6946592926979065
3052,dutch,25.0,male,9.0,academic,0.0,1484,dutch40,dutch,germanic,False,#b2df8a,gmu01484,dutch,nonnative,nonnative,011,2.886385917663574,1.8923366069793701,0.6238781809806824,0.6652171015739441,1.194149374961853,0.6945697665214539,0.6945992112159729,0.6946226954460144
3267,dutch,23.0,male,14.0,academic,0.0,1262,dutch18,dutch,germanic,False,#b2df8a,gmu01262,dutch,nonnative,nonnative,012,2.589838981628418,1.7814549207687378,0.6234308481216431,0.6629824042320251,1.1971477270126343,0.6948201060295105,0.694854199886322,0.694822371006012
4350,dutch,36.0,male,8.0,academic,13.5,1551,dutch42,dutch,germanic,False,#b2df8a,gmu01551,dutch,nonnative,nonnative,013,2.781571388244629,2.11177396774292,0.6226004958152771,0.6653581857681274,1.1970875263214111,0.6937105655670166,0.6937806606292725,0.6937559247016907
3410,dutch,21.0,male,11.0,academic,0.5,1705,dutch43,dutch,germanic,False,#b2df8a,gmu01705,dutch,nonnative,nonnative,014,2.824254035949707,1.7676715850830078,0.624203085899353,0.6618358492851257,1.137330412864685,0.6927210688591003,0.6927005052566528,0.6926531195640564
3967,dutch,22.0,male,2.0,naturalistic,0.0,1742,dutch45,dutch,germanic,False,#b2df8a,gmu01742,dutch,nonnative,nonnative,015,3.3719258308410645,1.0853325128555298,0.627611517906189,0.6669844388961792,1.880303144454956,0.694672167301178,0.6947799324989319,0.6947035193443298
2559,dutch,35.0,male,9.5,academic,0.0,2261,dutch50,dutch,germanic,False,#b2df8a,gmu02261,dutch,nonnative,nonnative,016,2.759507656097412,1.5619922876358032,0.6251580119132996,0.6667975783348083,1.462945580482483,0.6953177452087402,0.695260226726532,0.6953988075256348
2442,dutch,21.0,male,14.0,academic,0.0,1464,dutch32,dutch,germanic,False,#b2df8a,gmu01464,dutch,nonnative,nonnative,017,2.849148750305176,1.757099986076355,0.6259928345680237,0.6669517755508423,0.8604270219802856,0.6949139833450317,0.6947423815727234,0.6946916580200195
4135,dutch,23.0,male,13.0,academic,0.0,1268,dutch23,dutch,germanic,False,#b2df8a,gmu01268,dutch,nonnative,nonnative,018,3.0943567752838135,1.7630527019500732,0.6204625964164734,0.6698177456855774,1.0366379022598267,0.6934592127799988,0.6932430863380432,0.6933621168136597
2977,dutch,50.0,male,12.0,academic,6.0,2248,dutch48,dutch,germanic,False,#b2df8a,gmu02248,dutch,nonnative,nonnative,019,2.80863356590271,2.0178983211517334,0.6237885355949402,0.6701332926750183,1.204184889793396,0.6938937306404114,0.6938658952713013,0.693835973739624
2506,english,37.0,female,0.0,naturalistic,37.0,1554,english456,english_uk,english,True,#1f78b4,gmu01554,english,native,english_uk,020,2.9646639823913574,0.626730740070343,1.8566951751708984,0.8699571490287781,2.3795857429504395,0.612970769405365,0.612817108631134,0.6128286123275757
2976,english,22.0,female,0.0,naturalistic,22.0,1502,english440,english_uk,english,True,#1f78b4,gmu01502,english,native,english_uk,021,1.8652716875076294,0.6277661323547363,1.7243916988372803,0.8752484321594238,1.9664143323898315,0.6139342784881592,0.6138052344322205,0.6137228608131409
3350,english,25.0,female,0.0,naturalistic,25.0,1293,english366,english_uk,english,True,#1f78b4,gmu01293,english,native,english_uk,022,2.880394220352173,0.620248556137085,1.853724718093872,0.8602419495582581,1.9155195951461792,0.6116693615913391,0.6112627983093262,0.61126708984375
2963,english,42.0,female,0.0,naturalistic,42.0,773,english227,english_uk,english,True,#1f78b4,gmu00773,english,native,english_uk,023,2.735649585723877,0.6260532140731812,1.810990810394287,0.8665885329246521,3.0475082397460938,0.6114681959152222,0.6113367080688477,0.6113119721412659
4008,english,22.0,female,0.0,naturalistic,22.0,1688,english487,english_uk,english,True,#1f78b4,gmu01688,english,native,english_uk,024,2.8423750400543213,0.5690140128135681,1.8601549863815308,0.8702023029327393,1.5839790105819702,0.6129814386367798,0.6126974821090698,0.6129289269447327
2871,english,37.0,female,0.0,naturalistic,22.0,1108,english310,english_uk,english,True,#1f78b4,gmu01108,english,native,english_uk,025,2.4835586547851562,0.724933922290802,1.864005446434021,0.8739176988601685,1.950413703918457,0.6132752299308777,0.61307692527771,0.6130384802818298
2807,english,24.0,female,0.0,naturalistic,24.0,1093,english306,english_uk,english,True,#1f78b4,gmu01093,english,native,english_uk,026,3.062380075454712,0.6222139596939087,2.1941275596618652,0.8749343752861023,1.9626390933990479,0.611085832118988,0.610828161239624,0.6108917593955994
3876,english,35.0,female,0.0,naturalistic,35.0,680,english206,english_uk,english,True,#1f78b4,gmu00680,english,native,english_uk,027,2.8765034675598145,0.623538613319397,1.8701587915420532,0.8747378587722778,2.097170829772949,0.6129748225212097,0.612655520439148,0.6127253770828247
3322,english,35.0,female,0.0,naturalistic,35.0,1692,english488,english_uk,english,True,#1f78b4,gmu01692,english,native,english_uk,028,2.9327914714813232,0.6284791231155396,1.8667075634002686,0.8717013597488403,1.5965827703475952,0.6133913993835449,0.6131388545036316,0.6130374073982239
4565,english,59.0,female,0.0,naturalistic,59.0,774,english228,english_uk,english,True,#1f78b4,gmu00774,english,native,english_uk,029,3.043989419937134,0.7102774381637573,1.930259108543396,1.5760592222213745,1.8501559495925903,0.6139547824859619,0.6137539148330688,0.6137545108795166
3298,english,22.0,male,0.0,naturalistic,22.0,2081,english566,english_uk,english,True,#1f78b4,gmu02081,english,native,english_uk,030,3.181739091873169,0.7814804911613464,0.6415220499038696,0.8945584297180176,2.4791388511657715,0.6963745951652527,0.696318507194519,0.6963627934455872
