,participant_id,age,Country of Birth,Current Country of Residence,English speaking Monolingual,First Language,Sex,l1,group,sex,langgroup,nativeness,index,emb0,emb1,emb2,emb3,emb4,emb5,emb6,emb7,sequence_weight
5104,5f74af468549be0a901bd70a,21,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,00,0.5425169467926025,0.9122094511985779,0.5020193457603455,0.8208779692649841,0.5006566047668457,0.500027596950531,0.5000151991844177,0.5000817179679871,0.7955263
5105,5f48b22e88eb74375510b57c,23,United Kingdom,United Kingdom,I only know English,English,Male,english,english_uk,male,english,native,01,0.6571306586265564,0.5840531587600708,0.5275564789772034,0.5434765219688416,0.7061029672622681,0.5001164674758911,0.5000606179237366,0.5000429749488831,0.80368143
5131,5f53c41a05affe6fdbed5168,19,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,02,0.6305450797080994,0.5963069796562195,0.6295158863067627,0.5751963257789612,0.8040920495986938,0.5000121593475342,0.5000169277191162,0.5000297427177429,0.82422376
5132,60d65a2e6e744e4596cba461,23,United Kingdom,United Kingdom,I only know English,English,Male,english,english_uk,male,english,native,03,0.5089881420135498,0.5004727244377136,0.5234252214431763,0.498403936624527,0.5184476375579834,0.4998493194580078,0.5000622868537903,0.5000558495521545,0.9167662
5136,5ea1c0f9b35e1109bb93dd20,19,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,04,0.4598710834980011,0.6317983269691467,0.49605879187583923,0.5490927696228027,0.4999392628669739,0.4998972713947296,0.49963751435279846,0.4997762143611908,0.8520915
5137,609308bde839875a0ed8b8a9,27,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,05,0.5019235610961914,0.8174198865890503,0.5337594151496887,0.6979736685752869,0.7855779528617859,0.500045895576477,0.49998438358306885,0.4999653100967407,0.7763762
5158,5e94860a9ad2942dc5015711,20,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,06,0.3750433027744293,0.4996970295906067,0.4989948868751526,0.502023458480835,0.402286171913147,0.49982577562332153,0.4998836815357208,0.499764084815979,0.6841281
5160,60c75ff4ee16aa04cfcd60bf,20,United Kingdom,United Kingdom,I only know English,English,Male,english,english_uk,male,english,native,07,0.5223842263221741,0.380089670419693,0.48926621675491333,0.49807706475257874,0.5149346590042114,0.5000400543212891,0.5000895261764526,0.500038206577301,0.82545835
5161,60c7aec75ed5135a58faf813,45,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,08,0.4964558184146881,0.6840949058532715,0.5614516139030457,0.8024800419807434,0.48156505823135376,0.4999333620071411,0.49975836277008057,0.49988213181495667,0.77994937
5180,60d0aebb6fc0867a91db8282,22,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,09,0.4477396309375763,0.6199642419815063,0.513224184513092,0.5029438734054565,0.49850648641586304,0.5000672340393066,0.49994421005249023,0.499879390001297,0.810371
5185,608fef0be7832b05dfd9d56d,19,United Kingdom,United Kingdom,I only know English,English,Male,english,english_uk,male,english,native,10,0.6218116283416748,0.6738962531089783,0.7118485569953918,0.4656125605106354,0.5976513028144836,0.5000711679458618,0.5000227689743042,0.5000738501548767,0.8886359
5184,6078421a82b88488a16a2b1f,32,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,11,0.5035804510116577,0.7586998343467712,0.6740370988845825,0.7523234486579895,0.814115047454834,0.49995362758636475,0.4999731779098511,0.4999852776527405,0.8923135
5186,6058dba20257f28be1920c5c,47,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,12,0.49871939420700073,0.815712571144104,0.4983881413936615,0.4986235797405243,0.694487988948822,0.5000750422477722,0.5000739097595215,0.5000030994415283,0.76516724
5224,611e6e0371738becff3551d8,18,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,13,0.6247466206550598,0.6629726886749268,0.45349523425102234,0.6881932020187378,0.5860174894332886,0.5001010298728943,0.5000094771385193,0.5000211596488953,0.8796813
5223,61150dc88df7514d99d56af5,21,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,14,0.535349428653717,0.8803195357322693,0.5016567707061768,0.5008053183555603,0.5002852082252502,0.5000181794166565,0.5000920295715332,0.5000045299530029,0.8357238
5226,5fa3828e70d44c68e35ca305,41,United Kingdom,United Kingdom,I only know English,English,Male,english,english_uk,male,english,native,15,0.5307894349098206,0.6179649829864502,0.6693302392959595,0.5352913737297058,0.4985281825065613,0.499906450510025,0.5000661611557007,0.5000297427177429,0.810245
5227,61203db5c472e102f6a31867,29,United Kingdom,United Kingdom,I only know English,English,Male,english,english_uk,male,english,native,16,0.4357510209083557,0.5658130049705505,0.5737858414649963,0.4990399479866028,0.4995301067829132,0.49991098046302795,0.5001686215400696,0.5002157688140869,0.8243175
5228,602d25c3cc46516b77b98c28,39,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,17,0.5296434760093689,0.7591615915298462,0.33635103702545166,0.5011522173881531,0.5270369648933411,0.499924898147583,0.5002008080482483,0.49995511770248413,0.885058
5229,61197b469838f3a6ccfe0b9a,26,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,18,0.17503002285957336,0.435499370098114,0.2926557660102844,0.43880119919776917,0.3952707350254059,0.4999654293060303,0.49994027614593506,0.4998713433742523,0.23082891
5230,611d378f0cce9add359a8324,19,United Kingdom,United Kingdom,I only know English,English,Female,english,english_uk,female,english,native,19,0.5031257271766663,0.6149068474769592,0.45755457878112793,0.5008000731468201,0.5221339464187622,0.5000026226043701,0.5000282526016235,0.49996674060821533,0.7774268
5100,60cf278fb23e7b5ac8967490,28,Switzerland,Switzerland,,French,Female,french,french,female,romance,nonnative,20,0.6009894013404846,0.3735394775867462,0.5869118571281433,0.4310454726219177,0.4703117311000824,0.49999523162841797,0.49997615814208984,0.5000301003456116,0.79156226
5101,600816c1eaebcf3751af6865,22,Belgium,Belgium,,French,Female,french,french,female,romance,nonnative,21,0.17688271403312683,0.4627264142036438,0.38629618287086487,0.5015197992324829,0.43184515833854675,0.5000331401824951,0.500139057636261,0.5000295639038086,0.26679072
5102,5fc10a0a31a39e0a308b6194,22,Vietnam,Belgium,,French,Female,french,french,female,romance,nonnative,22,0.6397829651832581,0.49955424666404724,0.499216765165329,0.49799594283103943,0.5019258856773376,0.4998667538166046,0.49998319149017334,0.4999251365661621,0.7072286
5122,60698d567b61f5cd0c57b368,30,Belgium,Belgium,,French,Female,french,french,female,romance,nonnative,23,0.5301588177680969,0.49987736344337463,0.35766109824180603,0.4429090619087219,0.46116653084754944,0.5001506209373474,0.5001310706138611,0.5001775622367859,0.7715342
5130,60c79f56a6ace233a690c537,19,France,France,,French,Female,french,french,female,romance,nonnative,24,0.5318401455879211,0.47682133316993713,0.48943936824798584,0.529117226600647,0.5013455152511597,0.49992358684539795,0.500083863735199,0.5000649690628052,0.67278916
5145,5feb5b328422b4722c08843f,22,France,France,,French,Male,french,french,male,romance,nonnative,25,0.5077056288719177,0.5407846570014954,0.49856942892074585,0.4990886449813843,0.4968215227127075,0.4997920095920563,0.49979785084724426,0.4997824728488922,0.6510843
5146,5c6c0ed215875900019bf4d8,21,France,France,,French,Male,french,french,male,romance,nonnative,26,0.628911018371582,0.6155610084533691,0.4495713710784912,0.4042486548423767,0.4868786633014679,0.49974215030670166,0.49997007846832275,0.49981385469436646,0.65741843
5147,60c7cc3edbfd3121e3b553fb,20,Belgium,Belgium,,French,Male,french,french,male,romance,nonnative,27,0.2484339028596878,0.4868166744709015,0.4771556854248047,0.41003715991973877,0.5001973509788513,0.5000350475311279,0.4999698996543884,0.4998410940170288,0.5966125
5148,608ae665000987dee19d8934,23,France,France,,French,Male,french,french,male,romance,nonnative,28,0.5908304452896118,0.37266191840171814,0.526766836643219,0.4463200271129608,0.4997355043888092,0.5000477433204651,0.5000208020210266,0.4999527931213379,0.809059
