,username,group,rating_nativeness,rating_gender,rating_usuk,nativeness,sex,usuk,feature,score
0,gmu00896,dutch,0.447222,0.8097143,0.5471429,nonnative,female,nonnative,emb0,2.972298383712769
1,gmu00770,dutch,0.238889,0.8230714,0.3878572,nonnative,female,nonnative,emb0,3.179680824279785
2,gmu01266,dutch,0.109127,0.8006429,0.7635713,nonnative,female,nonnative,emb0,2.951737880706787
3,gmu01265,dutch,0.279365,0.8011428,0.1617857,nonnative,female,nonnative,emb0,2.9397730827331543
4,gmu01260,dutch,0.3857143,0.9234287,0.5617858,nonnative,female,nonnative,emb0,2.8357417583465576
5,gmu02249,dutch,0.3948412,0.8044286,0.4485716,nonnative,female,nonnative,emb0,2.747342109680176
6,gmu01740,dutch,0.6551587,0.8639287,0.5671429,nonnative,female,nonnative,emb0,2.6886510848999023
7,gmu01463,dutch,0.420238,0.8309999,0.1285714,nonnative,female,nonnative,emb0,3.008352756500244
8,gmu01263,dutch,0.4075398,0.8454285,0.3871429,nonnative,female,nonnative,emb0,2.715692043304444
9,gmu01003,dutch,0.3833334,0.8165,0.4696427,nonnative,female,nonnative,emb0,2.609683036804199
10,gmu00956,dutch,0.4742064,0.1235714,0.6228572,nonnative,male,nonnative,emb0,2.74522066116333
11,gmu01484,dutch,0.172619,0.0464285,0.5578572,nonnative,male,nonnative,emb0,2.886385917663574
12,gmu01262,dutch,0.4738097,0.0416429,0.4560714,nonnative,male,nonnative,emb0,2.589838981628418
13,gmu01551,dutch,0.138492,0.0439285,0.6378572,nonnative,male,nonnative,emb0,2.781571388244629
14,gmu01705,dutch,0.4789682,0.0203571,0.6350001,nonnative,male,nonnative,emb0,2.824254035949707
15,gmu01742,dutch,0.3297619,0.0196429,0.045,nonnative,male,nonnative,emb0,3.3719258308410645
16,gmu02261,dutch,0.545635,0.0814285,0.125,nonnative,male,nonnative,emb0,2.759507656097412
17,gmu01464,dutch,0.4666667,0.0893572,0.5857143,nonnative,male,nonnative,emb0,2.849148750305176
18,gmu01268,dutch,0.4599206,0.0726429,0.37,nonnative,male,nonnative,emb0,3.094356775283813
19,gmu02248,dutch,0.2686507,0.0396429,0.4214286,nonnative,male,nonnative,emb0,2.80863356590271
20,gmu01554,english_uk,0.2599206,0.807143,0.0317857,native,female,english_uk,emb0,2.9646639823913574
21,gmu01502,english_uk,0.318254,0.8723572,0.3371429,native,female,english_uk,emb0,1.8652716875076292
22,gmu01293,english_uk,0.3039683,0.8932142,0.0175,native,female,english_uk,emb0,2.880394220352173
23,gmu00773,english_uk,0.3638889,0.8865714,0.0203571,native,female,english_uk,emb0,2.735649585723877
24,gmu01688,english_uk,0.0178571,0.8852143,0.3367858,native,female,english_uk,emb0,2.8423750400543213
25,gmu01108,english_uk,0.3595238,0.8646429,0.1532142,native,female,english_uk,emb0,2.483558654785156
26,gmu01093,english_uk,0.1988094,0.929,0.2660713,native,female,english_uk,emb0,3.062380075454712
27,gmu00680,english_uk,0.3623016,0.8925,0.0060714,native,female,english_uk,emb0,2.8765034675598145
28,gmu01692,english_uk,0.2130953,0.8247856,0.1321429,native,female,english_uk,emb0,2.9327914714813232
29,gmu00774,english_uk,0.1329364,0.8664286,0.3846429,native,female,english_uk,emb0,3.043989419937134
30,gmu02081,english_uk,0.329365,0.0664285,0.1007142,native,male,english_uk,emb0,3.181739091873169
31,gmu00754,english_uk,0.2384921,0.0337858,0.2871427,native,male,english_uk,emb0,3.033486604690552
32,gmu01642,english_uk,0.2686508,0.0328572,0.0767858,native,male,english_uk,emb0,2.955320358276367
33,gmu01295,english_uk,0.3059524,0.0869286,0.0596429,native,male,english_uk,emb0,3.4083855152130127
34,gmu02187,english_uk,0.3416667,0.0873571,0.1435715,native,male,english_uk,emb0,2.143395185470581
35,gmu01101,english_uk,0.1730159,0.0497858,0.1178571,native,male,english_uk,emb0,3.012995481491089
36,gmu02735,english_uk,0.3932541,0.0378571,0.0217857,native,male,english_uk,emb0,1.904426336288452
37,gmu02171,english_uk,0.1579366,0.0485714,0.0217857,native,male,english_uk,emb0,3.091092109680176
38,gmu02362,english_uk,0.2952381,0.1259286,0.0114286,native,male,english_uk,emb0,3.287357807159424
39,gmu00772,english_uk,0.2087302,0.0712143,0.0746429,native,male,english_uk,emb0,3.1901092529296875
40,gmu02895,english_us,0.0904763,0.9382143,0.8925,native,female,english_us,emb0,3.358194589614868
41,gmu01214,english_us,0.0956349,0.9059287,0.8817856,native,female,english_us,emb0,2.996834516525269
42,gmu01928,english_us,0.0412699,0.8802143,0.804643,native,female,english_us,emb0,3.495302677154541
43,gmu02061,english_us,0.1214286,0.8495715,0.8978572,native,female,english_us,emb0,3.1510255336761475
44,gmu01086,english_us,0.0353174,0.8827857,0.9146428,native,female,english_us,emb0,3.3359477519989014
45,gmu02922,english_us,0.0130952,0.9065714,0.9689286,native,female,english_us,emb0,3.4915895462036133
46,gmu01559,english_us,0.0150793,0.8075,0.9092856,native,female,english_us,emb0,3.3291656970977783
47,gmu01371,english_us,0.075,0.9041429,0.8039287,native,female,english_us,emb0,3.353288412094116
48,gmu01337,english_us,0.2297619,0.6595001,0.9350002,native,female,english_us,emb0,3.084606409072876
49,gmu00875,english_us,0.229365,0.796,0.9046429,native,female,english_us,emb0,2.370557308197021
50,gmu02932,english_us,0.0753968,0.0607142,0.855,native,male,english_us,emb0,3.539742946624756
51,gmu02121,english_us,0.154365,0.0532143,0.5989285,native,male,english_us,emb0,3.531257152557373
52,gmu00737,english_us,0.118254,0.0639286,0.8107143,native,male,english_us,emb0,2.998713970184326
53,gmu00720,english_us,0.0170635,0.0392857,0.9242857,native,male,english_us,emb0,3.769618988037109
54,gmu01640,english_us,0.0587302,0.0325,0.9385714,native,male,english_us,emb0,3.3345205783843994
55,gmu02855,english_us,0.1825396,0.0564286,0.7228571,native,male,english_us,emb0,3.555532932281494
56,gmu01176,english_us,0.1952379,0.0782143,0.5285716,native,male,english_us,emb0,3.477505922317505
57,gmu01119,english_us,0.0492063,0.1315001,0.6464286,native,male,english_us,emb0,3.624797821044922
58,gmu00734,english_us,0.0769841,0.0672857,0.6664287,native,male,english_us,emb0,3.320751905441284
59,gmu01390,english_us,0.0329364,0.0232143,0.7060715,native,male,english_us,emb0,3.802506446838379
60,gmu00917,french,0.3452381,0.8307857,0.7867858,nonnative,female,nonnative,emb0,3.254449844360352
61,gmu00629,french,0.3924604,0.7542857,0.3957142,nonnative,female,nonnative,emb0,2.3853085041046143
62,gmu02497,french,0.6646824,0.8804286,0.4560713,nonnative,female,nonnative,emb0,1.4622516632080078
63,gmu02782,french,0.5115079,0.7160715,0.4507144,nonnative,female,nonnative,emb0,2.285440444946289
64,gmu02787,french,0.3416667,0.8398571,0.7957142,nonnative,female,nonnative,emb0,2.5880589485168457
65,gmu01021,french,0.3920634,0.7867858,0.3782143,nonnative,female,nonnative,emb0,2.306492805480957
66,gmu01304,french,0.2150793,0.8316428,0.6167858,nonnative,female,nonnative,emb0,3.1863017082214355
67,gmu01429,french,0.4976191,0.8889285,0.1264286,nonnative,female,nonnative,emb0,2.577278614044189
68,gmu02030,french,0.7305556,0.856,0.3935714,nonnative,female,nonnative,emb0,1.8385348320007324
69,gmu02473,french,0.6873016,0.8927143,0.3835715,nonnative,female,nonnative,emb0,2.3047988414764404
70,gmu01729,french,0.5750001,0.0489285,0.3821428,nonnative,male,nonnative,emb0,2.445591449737549
71,gmu01189,french,0.302381,0.0764286,0.4832143,nonnative,male,nonnative,emb0,2.7721035480499268
72,gmu02758,french,0.1265873,0.0335714,0.7035715,nonnative,male,nonnative,emb0,2.894604206085205
73,gmu01427,french,0.7753969,0.09,0.4510716,nonnative,male,nonnative,emb0,1.3504879474639893
74,gmu01643,french,0.4253967,0.0564285,0.4057142,nonnative,male,nonnative,emb0,2.4628591537475586
75,gmu02785,french,0.5845238,0.3224286,0.3846429,nonnative,male,nonnative,emb0,1.632437825202942
76,gmu02786,french,0.256349,0.1714285,0.6439285,nonnative,male,nonnative,emb0,2.896749258041382
77,gmu00755,french,0.4444444,0.0498572,0.4021429,nonnative,male,nonnative,emb0,2.613522291183472
78,gmu01535,french,0.5432541,0.0635714,0.3685713,nonnative,male,nonnative,emb0,2.389261245727539
79,gmu00633,french,0.6825398,0.0744285,0.3142857,nonnative,male,nonnative,emb0,1.6591107845306396
80,gmu01092,german,0.5666666,0.8472143,0.4949999,nonnative,female,nonnative,emb0,2.389357328414917
81,gmu01707,german,0.2309523,0.8642858,0.5499999,nonnative,female,nonnative,emb0,3.129168510437012
82,gmu01681,german,0.4960317,0.7004286,0.5960714,nonnative,female,nonnative,emb0,2.747572183609009
83,gmu01685,german,0.3722222,0.8681428,0.177143,nonnative,female,nonnative,emb0,2.743443727493286
84,gmu00651,german,0.3099206,0.8631429,0.4503572,nonnative,female,nonnative,emb0,3.339083194732666
85,gmu01619,german,0.6234126,0.7846428,0.4292857,nonnative,female,nonnative,emb0,2.436305522918701
86,gmu00882,german,0.3257936,0.8215714,0.7710714,nonnative,female,nonnative,emb0,3.1734635829925537
87,gmu00675,german,0.5678571,0.8260715,0.5382142,nonnative,female,nonnative,emb0,2.635596752166748
88,gmu01972,german,0.2210317,0.7666428,0.7085714,nonnative,female,nonnative,emb0,2.851105213165283
89,gmu02591,german,0.0765872,0.8794286,0.8025,nonnative,female,nonnative,emb0,3.756064176559448
90,gmu02833,german,0.1134921,0.0451429,0.4271429,nonnative,male,nonnative,emb0,3.281691551208496
91,gmu01383,german,0.5130953,0.0892857,0.3699998,nonnative,male,nonnative,emb0,2.739867687225342
92,gmu00893,german,0.479365,0.0821429,0.2817856,nonnative,male,nonnative,emb0,2.606325626373291
93,gmu00936,german,0.3087302,0.3506428,0.3796429,nonnative,male,nonnative,emb0,2.6229360103607178
94,gmu01879,german,0.1646825,0.1237142,0.2046429,nonnative,male,nonnative,emb0,2.8929286003112797
95,gmu01877,german,0.5234127,0.117,0.4710714,nonnative,male,nonnative,emb0,3.089193820953369
96,gmu00635,german,0.4571429,0.0735715,0.357143,nonnative,male,nonnative,emb0,2.8840856552124023
97,gmu00676,german,0.2305556,0.0843571,0.4660715,nonnative,male,nonnative,emb0,3.272379875183105
98,gmu01255,german,0.4420636,0.0335,0.0571429,nonnative,male,nonnative,emb0,2.88850212097168
99,gmu01494,german,0.1793651,0.0621429,0.5132142,nonnative,male,nonnative,emb0,3.5743672847747803
100,gmu01918,polish,0.0793652,0.8936429,0.7067857,nonnative,female,nonnative,emb0,3.5635881423950195
101,gmu02085,polish,0.3555556,0.9335714,0.5403569,nonnative,female,nonnative,emb0,2.7048768997192383
102,gmu01625,polish,0.251984,0.7047143,0.4271429,nonnative,female,nonnative,emb0,2.724212169647217
103,gmu01453,polish,0.2761905,0.8448571,0.5496429,nonnative,female,nonnative,emb0,2.8597946166992188
104,gmu01245,polish,0.7099207,0.8485001,0.5839287,nonnative,female,nonnative,emb0,2.2136752605438232
105,gmu02525,polish,0.5277779,0.8853571,0.5025,nonnative,female,nonnative,emb0,2.6106457710266118
106,gmu00843,polish,0.6123018,0.7493571,0.5671429,nonnative,female,nonnative,emb0,1.9037110805511477
107,gmu00841,polish,0.4575395,0.8392857,0.5871428,nonnative,female,nonnative,emb0,2.545863151550293
108,gmu00626,polish,0.4952381,0.8152144,0.4160714,nonnative,female,nonnative,emb0,2.702418327331543
109,gmu00842,polish,0.5527777,0.9212858,0.6092857,nonnative,female,nonnative,emb0,2.2501261234283447
110,gmu01651,polish,0.6166667,0.0830714,0.3671429,nonnative,male,nonnative,emb0,1.755050778388977
111,gmu02189,polish,0.4920636,0.0904999,0.3875,nonnative,male,nonnative,emb0,3.0755631923675537
112,gmu02514,polish,0.4198413,0.1678571,0.417857,nonnative,male,nonnative,emb0,3.140315532684326
113,gmu02062,polish,0.113492,0.1297857,0.6246427,nonnative,male,nonnative,emb0,3.661503791809082
