,variables_item,variables_rater,fold,test_loss,test_accuracy
0,none,none,5_0,1.280826155672007,0.614172149122807
1,none,none,5_1,1.2677512485625295,0.615953947368421
2,none,none,5_2,1.264801121531658,0.6186951754385965
3,none,none,5_3,1.2641900762248612,0.6162280701754386
4,none,none,5_4,1.2759384690792759,0.6130756578947368
5,sex,none,5_0,1.2746858274072375,0.6169133771929824
6,sex,none,5_1,1.2659972065580982,0.6203399122807017
7,sex,none,5_2,1.2586564333558274,0.6230811403508771
8,sex,none,5_3,1.260791729216207,0.6244517543859649
9,sex,none,5_4,1.273202009371425,0.6119791666666666
10,group,none,5_0,1.2700161258072353,0.6217105263157895
11,group,none,5_1,1.2549085044541393,0.6287006578947368
12,group,none,5_2,1.2531895378587654,0.6236293859649122
13,group,none,5_3,1.2515224074378095,0.621984649122807
14,group,none,5_4,1.2619268313067187,0.6152686403508771
15,group+sex,none,5_0,1.2658386023471289,0.6228070175438597
16,group+sex,none,5_1,1.2518485136990007,0.6296600877192983
17,group+sex,none,5_2,1.2474571961918148,0.6273300438596491
18,group+sex,none,5_3,1.247458010846477,0.6271929824561403
19,group+sex,none,5_4,1.2584496634422782,0.6186951754385965
20,index,none,5_0,1.247204173505522,0.6310307017543859
21,index,none,5_1,1.226304512893569,0.6395285087719298
22,index,none,5_2,1.22416089096082,0.6385690789473685
23,index,none,5_3,1.224746509990445,0.6344572368421053
24,index,none,5_4,1.241213003983502,0.6322642543859649
25,group+sex+index,none,5_0,1.2328199594577862,0.6285635964912281
26,group+sex+index,none,5_1,1.2190267849104173,0.6389802631578947
27,group+sex+index,none,5_2,1.213459729131284,0.6339089912280702
28,group+sex+index,none,5_3,1.215914626084517,0.6370614035087719
29,group+sex+index,none,5_4,1.2272316019678622,0.6300712719298246
30,none,index,5_0,1.280826108904795,0.614172149122807
31,none,index,5_1,1.2677352059001674,0.6171875
32,none,index,5_2,1.2648036167887153,0.6188322368421053
33,none,index,5_3,1.264163787017195,0.6170504385964912
34,none,index,5_4,1.2764782969737984,0.6119791666666666
35,sex,index,5_0,1.2738486867679655,0.6166392543859649
36,sex,index,5_1,1.264469190489634,0.6211622807017544
37,sex,index,5_2,1.257582330796061,0.6241776315789473
38,sex,index,5_3,1.2604694035560948,0.6239035087719298
39,sex,index,5_4,1.2726948159392135,0.6130756578947368
40,group,index,5_0,1.268496822017795,0.6199287280701754
41,group,index,5_1,1.2517964316195644,0.6295230263157895
42,group,index,5_2,1.2524767663226024,0.6271929824561403
43,group,index,5_3,1.248679098227941,0.623766447368421
44,group,index,5_4,1.2605547341060783,0.6203399122807017
45,group+sex,index,5_0,1.262705582327403,0.6243146929824561
46,group+sex,index,5_1,1.2479475986862714,0.6304824561403509
47,group+sex,index,5_2,1.2446855675404827,0.6306195175438597
48,group+sex,index,5_3,1.245360303755649,0.6256853070175439
49,group+sex,index,5_4,1.25639138714571,0.6197916666666666
50,index,index,5_0,1.2341554334055111,0.6291118421052632
51,index,index,5_1,1.2146533385127238,0.635827850877193
52,index,index,5_2,1.222809576505779,0.6341831140350878
53,index,index,5_3,1.2169485661694475,0.6332236842105263
54,index,index,5_4,1.2255865396365275,0.6328125
55,group+sex+index,index,5_0,1.2249923275088388,0.6278782894736842
56,group+sex+index,index,5_1,1.205291850628281,0.6351425438596491
57,group+sex+index,index,5_2,1.2118867758064928,0.6289747807017544
58,group+sex+index,index,5_3,1.206417560052264,0.6387061403508771
59,group+sex+index,index,5_4,1.219357267677487,0.6271929824561403
