,rater,group,nativeness,probability
0,5100,french,lo,0.506578947368421
1,5101,french,lo,0.3305921052631579
2,5102,french,lo,0.5345394736842105
3,5104,english_uk,lo,0.3832236842105263
4,5105,english_uk,lo,0.4967105263157895
5,5106,german,lo,0.4440789473684211
6,5112,german,lo,0.5707236842105263
7,5122,french,lo,0.48026315789473684
8,5123,german,lo,0.4555921052631579
9,5124,german,lo,0.49835526315789475
10,5125,german,lo,0.43585526315789475
11,5130,french,lo,0.47368421052631576
12,5131,english_uk,lo,0.5180921052631579
13,5132,english_uk,lo,0.4342105263157895
14,5136,english_uk,lo,0.40460526315789475
15,5137,english_uk,lo,0.3980263157894737
16,5138,german,lo,0.4276315789473684
17,5139,german,lo,0.5296052631578947
18,5143,german,lo,0.4161184210526316
19,5144,german,lo,0.47368421052631576
20,5145,french,lo,0.4407894736842105
21,5146,french,lo,0.44901315789473684
22,5147,french,lo,0.33223684210526316
23,5148,french,lo,0.4786184210526316
24,5151,german,lo,0.5575657894736842
25,5154,german,lo,0.4720394736842105
26,5156,german,lo,0.43914473684210525
27,5158,english_uk,lo,0.4029605263157895
28,5160,english_uk,lo,0.5131578947368421
29,5161,english_uk,lo,0.45394736842105265
30,5163,german,lo,0.4654605263157895
31,5164,french,lo,0.4276315789473684
32,5166,french,lo,0.45394736842105265
33,5167,french,lo,0.5164473684210527
34,5169,french,lo,0.5164473684210527
35,5170,french,lo,0.4128289473684211
36,5173,german,lo,0.36348684210526316
37,5174,german,lo,0.45230263157894735
38,5176,german,lo,0.3848684210526316
39,5177,german,lo,0.47368421052631576
40,5178,german,lo,0.39144736842105265
41,5179,german,lo,0.4555921052631579
42,5180,english_uk,lo,0.4342105263157895
43,5184,english_uk,lo,0.4309210526315789
44,5185,english_uk,lo,0.4128289473684211
45,5186,english_uk,lo,0.3651315789473684
46,5189,french,lo,0.36348684210526316
47,5191,french,lo,0.47368421052631576
48,5192,french,lo,0.4917763157894737
49,5223,english_uk,lo,0.3536184210526316
50,5224,english_uk,lo,0.537828947368421
51,5226,english_uk,lo,0.4720394736842105
52,5227,english_uk,lo,0.4095394736842105
53,5228,english_uk,lo,0.4144736842105263
54,5229,english_uk,lo,0.3026315789473684
55,5230,english_uk,lo,0.3996710526315789
56,5233,french,lo,0.3930921052631579
57,5237,french,lo,0.49835526315789475
58,5242,german,lo,0.34210526315789475
59,5244,french,lo,0.4128289473684211
60,5100,french,mid,0.2565789473684211
61,5101,french,mid,0.36348684210526316
62,5102,french,mid,0.2450657894736842
63,5104,english_uk,mid,0.24177631578947367
64,5105,english_uk,mid,0.24671052631578946
65,5106,german,mid,0.2565789473684211
66,5112,german,mid,0.25493421052631576
67,5122,french,mid,0.2944078947368421
68,5123,german,mid,0.3092105263157895
69,5124,german,mid,0.24671052631578946
70,5125,german,mid,0.3059210526315789
71,5130,french,mid,0.2713815789473684
72,5131,english_uk,mid,0.2532894736842105
